Freq.	V(n018)	V(n019)
7.24435960074992e+01	(4.29687813027405e+00dB,-9.74938763525391e-02°)	(-1.02537614059671e+02dB,-9.00979967717073e+01°)
7.58577575029186e+01	(4.29687657186710e+00dB,-1.02088195127192e-01°)	(-1.02137615616142e+02dB,-9.01026147915368e+01°)
7.94328234724284e+01	(4.29687486729917e+00dB,-1.06898987109764e-01°)	(-1.01737617318591e+02dB,-9.01074504016067e+01°)
8.31763771102674e+01	(4.29687300292835e+00dB,-1.11936449507209e-01°)	(-1.01337619180644e+02dB,-9.01125138517706e+01°)
8.70963589956084e+01	(4.29687096435477e+00dB,-1.17211259850435e-01°)	(-1.00937621216681e+02dB,-9.01178158746877e+01°)
9.12010839355913e+01	(4.29686873582293e+00dB,-1.22734598657345e-01°)	(-1.00537623442439e+02dB,-9.01233677086019e+01°)
9.54992586021439e+01	(4.29686629864999e+00dB,-1.28518173171599e-01°)	(-1.00137625876576e+02dB,-9.01291811212035e+01°)
1.00000000000000e+02	(4.29686363542029e+00dB,-1.34574242226913e-01°)	(-9.97376285364858e+01dB,-9.01352684346207e+01°)
1.04712854805090e+02	(4.29686072404783e+00dB,-1.40915642290206e-01°)	(-9.93376314442270e+01dB,-9.01416425515984e+01°)
1.09647819614319e+02	(4.29685754386562e+00dB,-1.47555814737525e-01°)	(-9.89376346204377e+01dB,-9.01483169829129e+01°)
1.14815362149689e+02	(4.29685406820914e+00dB,-1.54508834419583e-01°)	(-9.85376380917510e+01dB,-9.01553058760858e+01°)
1.20226443461742e+02	(4.29685026950195e+00dB,-1.61789439573870e-01°)	(-9.81376418857086e+01dB,-9.01626240454493e+01°)
1.25892541179417e+02	(4.29684611901871e+00dB,-1.69413063144746e-01°)	(-9.77376460309979e+01dB,-9.01702870036277e+01°)
1.31825673855641e+02	(4.29684158325435e+00dB,-1.77395865575127e-01°)	(-9.73376505610826e+01dB,-9.01783109944983e+01°)
1.38038426460289e+02	(4.29683662796770e+00dB,-1.85754769131571e-01°)	(-9.69376555101584e+01dB,-9.01867130276922e+01°)
1.44543977074593e+02	(4.29683121401032e+00dB,-1.94507493834668e-01°)	(-9.65376609173238e+01dB,-9.01955109147109e+01°)
1.51356124843621e+02	(4.29682529745370e+00dB,-2.03672595061375e-01°)	(-9.61376668264528e+01dB,-9.02047233067218e+01°)
1.58489319246112e+02	(4.29681883209291e+00dB,-2.13269502894414e-01°)	(-9.57376732836904e+01dB,-9.02143697341104e+01°)
1.65958690743757e+02	(4.29681176612795e+00dB,-2.23318563297718e-01°)	(-9.53376803407709e+01dB,-9.02244706478689e+01°)
1.73780082874938e+02	(4.29680404265780e+00dB,-2.33841081196213e-01°)	(-9.49376880545231e+01dB,-9.02350474628976e+01°)
1.81970085860999e+02	(4.29679559964862e+00dB,-2.44859365548901e-01°)	(-9.45376964869017e+01dB,-9.02461226033116e+01°)
1.90546071796326e+02	(4.29678637081556e+00dB,-2.56396776502359e-01°)	(-9.41377057041047e+01dB,-9.02577195498374e+01°)
1.99526231496889e+02	(4.29677627874498e+00dB,-2.68477774724865e-01°)	(-9.37377157834502e+01dB,-9.02698628894037e+01°)
2.08929613085405e+02	(4.29676524337494e+00dB,-2.81127973015477e-01°)	(-9.33377268048955e+01dB,-9.02825783670167e+01°)
2.18776162394956e+02	(4.29675317307147e+00dB,-2.94374190300387e-01°)	(-9.29377388599594e+01dB,-9.02958929400373e+01°)
2.29086765276778e+02	(4.29673996864381e+00dB,-3.08244508123230e-01°)	(-9.25377520477063e+01dB,-9.03098348349640e+01°)
2.39883291901950e+02	(4.29672552150818e+00dB,-3.22768329748788e-01°)	(-9.21377664765814e+01dB,-9.03244336068440e+01°)
2.51188643150959e+02	(4.29670971176672e+00dB,-3.37976442001178e-01°)	(-9.17377822663301e+01dB,-9.03397202014321e+01°)
2.63026799189540e+02	(4.29669240861273e+00dB,-3.53901079963366e-01°)	(-9.13377995475921e+01dB,-9.03557270202269e+01°)
2.75422870333818e+02	(4.29667346870882e+00dB,-3.70575994670146e-01°)	(-9.09378184635213e+01dB,-9.03724879885162e+01°)
2.88403150312662e+02	(4.29665273205110e+00dB,-3.88036523933457e-01°)	(-9.05378391739201e+01dB,-9.03900386265716e+01°)
3.01995172040203e+02	(4.29663002542574e+00dB,-4.06319666437232e-01°)	(-9.01378618517813e+01dB,-9.04084161241274e+01°)
3.16227766016840e+02	(4.29660516091970e+00dB,-4.25464159251841e-01°)	(-8.97378866847756e+01dB,-9.04276594182997e+01°)
3.31131121482593e+02	(4.29657792609995e+00dB,-4.45510558922400e-01°)	(-8.93379138850697e+01dB,-9.04478092750986e+01°)
3.46736850452534e+02	(4.29654809475486e+00dB,-4.66501326272394e-01°)	(-8.89379436785834e+01dB,-9.04689083746735e+01°)
3.63078054770103e+02	(4.29651541337595e+00dB,-4.88480915102452e-01°)	(-8.85379763185049e+01dB,-9.04910014004743e+01°)
3.80189396320563e+02	(4.29647960768691e+00dB,-5.11495864930729e-01°)	(-8.81380120787592e+01dB,-9.05141351324773e+01°)
3.98107170553500e+02	(4.29644037596208e+00dB,-5.35594897953784e-01°)	(-8.77380512606864e+01dB,-9.05383585446539e+01°)
4.16869383470338e+02	(4.29639738549004e+00dB,-5.60829020401687e-01°)	(-8.73380941965751e+01dB,-9.05637229068555e+01°)
4.36515832240169e+02	(4.29635027457317e+00dB,-5.87251628452500e-01°)	(-8.69381412476593e+01dB,-9.05902818912822e+01°)
4.57088189614878e+02	(4.29629864462160e+00dB,-6.14918618908152e-01°)	(-8.65381928120200e+01dB,-9.06180916837445e+01°)
4.78630092322641e+02	(4.29624205918148e+00dB,-6.43888504794120e-01°)	(-8.61382493255530e+01dB,-9.06472110998647e+01°)
5.01187233627275e+02	(4.29618004070654e+00dB,-6.74222536088688e-01°)	(-8.57383112651924e+01dB,-9.06777017064482e+01°)
5.24807460249776e+02	(4.29611206409384e+00dB,-7.05984825765173e-01°)	(-8.53383791553696e+01dB,-9.07096279481869e+01°)
5.49540873857628e+02	(4.29603755512657e+00dB,-7.39242481337304e-01°)	(-8.49384535695645e+01dB,-9.07430572799023e+01°)
5.75439937337161e+02	(4.29595588416304e+00dB,-7.74065742109445e-01°)	(-8.45385351366106e+01dB,-9.07780603045266e+01°)
6.02559586074362e+02	(4.29586636273380e+00dB,-8.10528122319774e-01°)	(-8.41386245440905e+01dB,-9.08147109170006e+01°)
6.30957344480197e+02	(4.29576823289490e+00dB,-8.48706560373894e-01°)	(-8.37387225489750e+01dB,-9.08530864543105e+01°)
6.60693448007600e+02	(4.29566066807281e+00dB,-8.88681574349878e-01°)	(-8.33388299767700e+01dB,-9.08932678518213e+01°)
6.91830970918941e+02	(4.29554275933988e+00dB,-9.30537423975135e-01°)	(-8.29389477352312e+01dB,-9.09353398061258e+01°)
7.24435960074995e+02	(4.29541351356349e+00dB,-9.74362279233889e-01°)	(-8.25390768162053e+01dB,-9.09793909445603e+01°)
7.58577575029189e+02	(4.29527184024411e+00dB,-1.02024839579344e+00°)	(-8.21392183087804e+01dB,-9.10255140015819e+01°)
7.94328234724287e+02	(4.29511654673026e+00dB,-1.06829229738804e+00°)	(-8.17393734040584e+01dB,-9.10738060021466e+01°)
8.31763771102677e+02	(4.29494632584600e+00dB,-1.11859496531375e+00°)	(-8.13395434075144e+01dB,-9.11243684522389e+01°)
8.70963589956087e+02	(4.29475974597123e+00dB,-1.17126203514708e+00°)	(-8.09397297489008e+01dB,-9.11773075366782e+01°)
9.12010839355916e+02	(4.29455523916237e+00dB,-1.22640400078605e+00°)	(-8.05399339941103e+01dB,-9.12327343242878e+01°)
9.54992586021443e+02	(4.29433108963299e+00dB,-1.28413642587452e+00°)	(-8.01401578566770e+01dB,-9.12907649804980e+01°)
1.00000000000001e+03	(4.29408541768612e+00dB,-1.34458016265163e+00°)	(-7.97404032138237e+01dB,-9.13515209874367e+01°)
1.04712854805091e+03	(4.29381616333587e+00dB,-1.40786157819916e+00°)	(-7.93406721228184e+01dB,-9.14151293714496e+01°)
1.09647819614319e+03	(4.29352107626010e+00dB,-1.47411278802681e+00°)	(-7.89409668309963e+01dB,-9.14817229380358e+01°)
1.14815362149689e+03	(4.29319769125057e+00dB,-1.54347189687972e+00°)	(-7.85412898002834e+01dB,-9.15514405140499e+01°)
1.20226443461742e+03	(4.29284331072909e+00dB,-1.61608324657438e+00°)	(-7.81416437246494e+01dB,-9.16244271969895e+01°)
1.25892541179418e+03	(4.29245498552808e+00dB,-1.69209767057644e+00°)	(-7.77420315492943e+01dB,-9.17008346110967e+01°)
1.31825673855642e+03	(4.29202948609788e+00dB,-1.77167275497556e+00°)	(-7.73424564994042e+01dB,-9.17808211698994e+01°)
1.38038426460290e+03	(4.29156328568516e+00dB,-1.85497310535091e+00°)	(-7.69429220969319e+01dB,-9.18645523447348e+01°)
1.44543977074594e+03	(4.29105252498895e+00dB,-1.94217061898272e+00°)	(-7.65434321958956e+01dB,-9.19522009386485e+01°)
1.51356124843622e+03	(4.29049299042627e+00dB,-2.03344476159383e+00°)	(-7.61439910040631e+01dB,-9.20439473649257e+01°)
1.58489319246113e+03	(4.28988007310339e+00dB,-2.12898284783009e+00°)	(-7.57446031239242e+01dB,-9.21399799294012e+01°)
1.65958690743757e+03	(4.28920874496083e+00dB,-2.22898032427728e+00°)	(-7.53452735764839e+01dB,-9.22404951153932e+01°)
1.73780082874939e+03	(4.28847351194891e+00dB,-2.33364105387002e+00°)	(-7.49460078480172e+01dB,-9.23456978700900e+01°)
1.81970085861000e+03	(4.28766838217568e+00dB,-2.44317760005789e+00°)	(-7.45468119218442e+01dB,-9.24558018907550e+01°)
1.90546071796326e+03	(4.28678681804000e+00dB,-2.55781150910052e+00°)	(-7.41476923261107e+01dB,-9.25710299091633e+01°)
1.99526231496890e+03	(4.28582169344866e+00dB,-2.67777358835935e+00°)	(-7.37486561764744e+01dB,-9.26916139720612e+01°)
2.08929613085406e+03	(4.28476524060040e+00dB,-2.80330417833025e+00°)	(-7.33497112292136e+01dB,-9.28177957154764e+01°)
2.18776162394957e+03	(4.28360900553628e+00dB,-2.93465341569888e+00°)	(-7.29508659255558e+01dB,-9.29498266300950e+01°)
2.29086765276779e+03	(4.28234378400263e+00dB,-3.07208148448118e+00°)	(-7.25521294556792e+01dB,-9.30879683148034e+01°)
2.39883291901951e+03	(4.28095956847904e+00dB,-3.21585885178636e+00°)	(-7.21535118115328e+01dB,-9.32324927149151e+01°)
2.51188643150960e+03	(4.27944548813282e+00dB,-3.36626648449533e+00°)	(-7.17550238467109e+01dB,-9.33836823413847e+01°)
2.63026799189540e+03	(4.27778973654255e+00dB,-3.52359604267899e+00°)	(-7.13566773485368e+01dB,-9.35418304668013e+01°)
2.75422870333819e+03	(4.27597951393833e+00dB,-3.68815004513263e+00°)	(-7.09584850956058e+01dB,-9.37072412935931e+01°)
2.88403150312663e+03	(4.27400094912342e+00dB,-3.86024200215287e+00°)	(-7.05604609356186e+01dB,-9.38802300894995e+01°)
3.01995172040204e+03	(4.27183903527664e+00dB,-4.04019651016762e+00°)	(-7.01626198493018e+01dB,-9.40611232849496e+01°)
3.16227766016841e+03	(4.26947755377731e+00dB,-4.22834930265426e+00°)	(-6.97649780262704e+01dB,-9.42502585267980e+01°)
3.31131121482594e+03	(4.26689899744985e+00dB,-4.42504725151296e+00°)	(-6.93675529414284e+01dB,-9.44479846825240e+01°)
3.46736850452535e+03	(4.26408450968405e+00dB,-4.63064831283558e+00°)	(-6.89703634154469e+01dB,-9.46546617888974e+01°)
3.63078054770105e+03	(4.26101380212969e+00dB,-4.84552141137150e+00°)	(-6.85734296966141e+01dB,-9.48706609393466e+01°)
3.80189396320565e+03	(4.25766509251624e+00dB,-5.07004625790153e+00°)	(-6.81767735224982e+01dB,-9.50963641042643e+01°)
3.98107170553501e+03	(4.25401504515468e+00dB,-5.30461309447718e+00°)	(-6.77804181788583e+01dB,-9.53321638792248e+01°)
4.16869383470339e+03	(4.25003871341976e+00dB,-5.54962236340879e+00°)	(-6.73843885564953e+01dB,-9.55784631569621e+01°)
4.36515832240170e+03	(4.24570950074015e+00dB,-5.80548429701891e+00°)	(-6.69887111895035e+01dB,-9.58356747201324e+01°)
4.57088189614880e+03	(4.24099912519709e+00dB,-6.07261842731689e+00°)	(-6.65934142898110e+01dB,-9.61042207540330e+01°)
4.78630092322643e+03	(4.23587760649933e+00dB,-6.35145301692269e+00°)	(-6.61985277592265e+01dB,-9.63845322805925e+01°)
5.01187233627277e+03	(4.23031327618706e+00dB,-6.64242441602012e+00°)	(-6.58040831781246e+01dB,-9.66770485184869e+01°)
5.24807460249778e+03	(4.22427280601052e+00dB,-6.94597635411810e+00°)	(-6.54101137758081e+01dB,-9.69822161780897e+01°)
5.49540873857630e+03	(4.21772126425084e+00dB,-7.26255918038725e+00°)	(-6.50166543727586e+01dB,-9.73004887051081e+01°)
5.75439937337163e+03	(4.21062221384238e+00dB,-7.59262907231337e+00°)	(-6.46237412808992e+01dB,-9.76323254927146e+01°)
6.02559586074364e+03	(4.20293784461291e+00dB,-7.93664723961253e+00°)	(-6.42314121695286e+01dB,-9.79781910891016e+01°)
6.30957344480200e+03	(4.19462914396215e+00dB,-8.29507915855308e+00°)	(-6.38397058925840e+01dB,-9.83385544357368e+01°)
6.60693448007603e+03	(4.18565612599757e+00dB,-8.66839388079368e+00°)	(-6.34486622571896e+01dB,-9.87138881804509e+01°)
6.91830970918944e+03	(4.17597810338509e+00dB,-9.05706347123476e+00°)	(-6.30583217492075e+01dB,-9.91046681200617e+01°)
7.24435960074998e+03	(4.16555402149524e+00dB,-9.46156263968034e+00°)	(-6.26687251961847e+01dB,-9.95113728373061e+01°)
7.58577575029192e+03	(4.15434284467495e+00dB,-9.88236864234467e+00°)	(-6.22799133778408e+01dB,-9.99344836084540e+01°)
7.94328234724290e+03	(4.14230400445672e+00dB,-1.03199615392605e+01°)	(-6.18919265742588e+01dB,-1.00374484667605e+02°)
8.31763771102680e+03	(4.12939790181492e+00dB,-1.07748249034281e+01°)	(-6.15048040596474e+01dB,-1.00831863923940e+02°)
8.70963589956090e+03	(4.11558645713755e+00dB,-1.12474470848655e+01°)	(-6.11185835479832e+01dB,-1.01307114235052e+02°)
9.12010839355920e+03	(4.10083370842726e+00dB,-1.17383231368303e+01°)	(-6.07333005900024e+01dB,-1.01800735344099e+02°)
9.54992586021446e+03	(4.08510643805302e+00dB,-1.22479575120447e+01°)	(-6.03489879412051e+01dB,-1.02313236588658e+02°)
1.00000000000001e+04	(4.06837481291814e+00dB,-1.27768676314167e+01°)	(-5.99656749159973e+01dB,-1.02845140483994e+02°)
1.04712854805091e+04	(4.05061302005815e+00dB,-1.33255884159639e+01°)	(-5.95833867459507e+01dB,-1.03396987271910e+02°)
1.09647819614320e+04	(4.03179987442505e+00dB,-1.38946778536858e+01°)	(-5.92021439654235e+01dB,-1.03969340506866e+02°)
1.14815362149690e+04	(4.01191936538818e+00dB,-1.44847236457273e+01°)	(-5.88219618580156e+01dB,-1.04562793723940e+02°)
1.20226443461743e+04	(3.99096111201227e+00dB,-1.50963509414457e+01°)	(-5.84428499938032e+01dB,-1.05177978198474e+02°)
1.25892541179418e+04	(3.96892069841695e+00dB,-1.57302311285896e+01°)	(-5.80648118860554e+01dB,-1.05815571763524e+02°)
1.31825673855642e+04	(3.94579984674030e+00dB,-1.63870915970195e+01°)	(-5.76878448099161e+01dB,-1.06476308603485e+02°)
1.38038426460290e+04	(3.92160639798024e+00dB,-1.70677263416153e+01°)	(-5.73119398127772e+01dB,-1.07160989889587e+02°)
1.44543977074594e+04	(3.89635407322164e+00dB,-1.77730072175341e+01°)	(-5.69370819438241e+01dB,-1.07870495070018e+02°)
1.51356124843623e+04	(3.87006197903080e+00dB,-1.85038956119835e+01°)	(-5.65632507389497e+01dB,-1.08605793578584e+02°)
1.58489319246113e+04	(3.84275385797499e+00dB,-1.92614542550260e+01°)	(-5.61904209600348e+01dB,-1.09367956683959e+02°)
1.65958690743758e+04	(3.81445705909506e+00dB,-2.00468588630075e+01°)	(-5.58185636136993e+01dB,-1.10158169173018e+02°)
1.73780082874940e+04	(3.78520123671410e+00dB,-2.08614092951418e+01°)	(-5.54476472410464e+01dB,-1.10977740547395e+02°)
1.81970085861001e+04	(3.75501679695900e+00dB,-2.17065399097731e+01°)	(-5.50776394588959e+01dB,-1.11828115420440e+02°)
1.90546071796327e+04	(3.72393310402757e+00dB,-2.25838288335686e+01°)	(-5.47085087403129e+01dB,-1.12710882826374e+02°)
1.99526231496890e+04	(3.69197650018796e+00dB,-2.34950059043166e+01°)	(-5.43402263802515e+01dB,-1.13627784202372e+02°)
2.08929613085406e+04	(3.65916815813079e+00dB,-2.44419591136588e+01°)	(-5.39727686274660e+01dB,-1.14580719869575e+02°)
2.18776162394958e+04	(3.62552184162528e+00dB,-2.54267394564505e+01°)	(-5.36061189064827e+01dB,-1.15571753919461e+02°)
2.29086765276780e+04	(3.59104159657550e+00dB,-2.64515641828543e+01°)	(-5.32402701072529e+01dB,-1.16603117501634e+02°)
2.39883291901952e+04	(3.55571945043978e+00dB,-2.75188185419516e+01°)	(-5.28752268642232e+01dB,-1.17677210602580e+02°)
2.51188643150961e+04	(3.51953312217765e+00dB,-2.86310561940515e+01°)	(-5.25110078223379e+01dB,-1.18796602492083e+02°)
2.63026799189541e+04	(3.48244383940524e+00dB,-2.97909985488294e+01°)	(-5.21476477929656e+01dB,-1.19964031095742e+02°)
2.75422870333820e+04	(3.44439420529568e+00dB,-3.10015333484604e+01°)	(-5.17851998568731e+01dB,-1.21182401613521e+02°)
2.88403150312664e+04	(3.40530619336372e+00dB,-3.22657128627857e+01°)	(-5.14237373357662e+01dB,-1.22454784751800e+02°)
3.01995172040206e+04	(3.36507921839701e+00dB,-3.35867520854825e+01°)	(-5.10633556837841e+01dB,-1.23784414959273e+02°)
3.16227766016842e+04	(3.32358827193990e+00dB,-3.49680273261132e+01°)	(-5.07041743101860e+01dB,-1.25174689062636e+02°)
3.31131121482595e+04	(3.28068208641152e+00dB,-3.64130755748680e+01°)	(-5.03463383687775e+01dB,-1.26629165680191e+02°)
3.46736850452536e+04	(3.23618125163479e+00dB,-3.79255949814660e+01°)	(-4.99900205899150e+01dB,-1.28151565755592e+02°)
3.63078054770106e+04	(3.18987622324034e+00dB,-3.95094467388482e+01°)	(-4.96354232152125e+01dB,-1.29745774503840e+02°)
3.80189396320566e+04	(3.14152510986698e+00dB,-4.11686585907117e+01°)	(-4.92827801475835e+01dB,-1.31415844989646e+02°)
3.98107170553503e+04	(3.09085115164381e+00dB,-4.29074301007711e+01°)	(-4.89323594036492e+01dB,-1.33166003477586e+02°)
4.16869383470341e+04	(3.03753972642829e+00dB,-4.47301397103980e+01°)	(-4.85844660314986e+01dB,-1.35000656581334e+02°)
4.36515832240172e+04	(2.98123475283630e+00dB,-4.66413534820491e+01°)	(-4.82394456241659e+01dB,-1.36924400111182e+02°)
4.57088189614881e+04	(2.92153430985330e+00dB,-4.86458352561093e+01°)	(-4.78976886083681e+01dB,-1.38942029348352e+02°)
4.78630092322645e+04	(2.85798526527991e+00dB,-5.07485577237703e+01°)	(-4.75596355154987e+01dB,-1.41058550250770e+02°)
5.01187233627279e+04	(2.79007667425287e+00dB,-5.29547136209746e+01°)	(-4.72257834727966e+01dB,-1.43279190796316e+02°)
5.24807460249780e+04	(2.71723171598858e+00dB,-5.52697258601806e+01°)	(-4.68966941456044e+01dB,-1.45609411282347e+02°)
5.49540873857632e+04	(2.63879785075159e+00dB,-5.76992548745188e+01°)	(-4.65730034476642e+01dB,-1.48054911859006e+02°)
5.75439937337165e+04	(2.55403492289021e+00dB,-6.02492007623367e+01°)	(-4.62554332924342e+01dB,-1.50621634885123e+02°)
6.02559586074366e+04	(2.46210088712612e+00dB,-6.29256968992245e+01°)	(-4.59448057069372e+01dB,-1.53315758777815e+02°)
6.30957344480202e+04	(2.36203488663620e+00dB,-6.57350905319769e+01°)	(-4.56420595781469e+01dB,-1.56143678873766e+02°)
6.60693448007605e+04	(2.25273748193957e+00dB,-6.86839044417092e+01°)	(-4.53482702312817e+01dB,-1.59111969391626e+02°)
6.91830970918946e+04	(2.13294798383268e+00dB,-7.17787720790660e+01°)	(-4.50646718849676e+01dB,-1.62227318905014e+02°)
7.24435960075000e+04	(2.00121908725823e+00dB,-7.50263366940972e+01°)	(-4.47926827843840e+01dB,-1.65496429852453e+02°)
7.58577575029195e+04	(1.85588944904477e+00dB,-7.84331031237550e+01°)	(-4.45339323672315e+01dB,-1.68925870752993e+02°)
7.94328234724293e+04	(1.69505539658454e+00dB,-8.20052293003802e+01°)	(-4.42902892729838e+01dB,-1.72521868200207e+02°)
8.31763771102683e+04	(1.51654387636540e+00dB,-8.57482439451159e+01°)	(-4.40638880837463e+01dB,-1.76290025102993e+02°)
8.70963589956093e+04	(1.31788975745352e+00dB,-8.96666779294705e+01°)	(-4.38571516785589e+01dB,1.79765047330611e+02°)
9.12010839355923e+04	(1.09632194673757e+00dB,-9.37636007961808e+01°)	(-4.36728047408961e+01dB,1.75640192366439e+02°)
9.54992586021450e+04	(8.48764137866634e-01dB,-9.80400621834500e+01°)	(-4.35138725936020e+01dB,1.71334265515902e+02°)
1.00000000000001e+05	(5.71857141669961e-01dB,-1.02494451615212e+02°)	(-4.33836584091711e+01dB,1.66848773830147e+02°)
1.04712854805091e+05	(2.62010248302398e-01dB,-1.07121810011489e+02°)	(-4.32856913403184e+01dB,1.62188563343614e+02°)
1.09647819614320e+05	(-8.45116997661891e-02dB,-1.11913151346650e+02°)	(-4.32236388863008e+01dB,1.57362496219460e+02°)
1.14815362149690e+05	(-4.71461607331855e-01dB,-1.16854879422173e+02°)	(-4.32011795723122e+01dB,1.52384032604770e+02°)
1.20226443461743e+05	(-9.02444911268615e-01dB,-1.21928406244024e+02°)	(-4.32218370477192e+01dB,1.47271610680886e+02°)
